ID	Name	Definition	Synonyms	URI	is obsolete
BIOBANK_0000016	blood spot card box	A device that contains blood spot cards.		http://purl.obolibrary.org/obo/BIOBANK_0000016	false
BIOBANK_0000017	data confirm questionnaire	A questionnaire that comprises a set of questions about patient, such as height, weight, race, biological sex, clinical history, etc., will be filled by the recruiter based on Electronic Medical Record (EMR).		http://purl.obolibrary.org/obo/BIOBANK_0000017	false
BIOBANK_0000018	form filling	A document editing in which one or more fields in a form are filled with related information, such as answering questionnare.		http://purl.obolibrary.org/obo/BIOBANK_0000018	false
BIOBANK_0000019	filled patient questionnaire	A patient questionnaire which is output of a form filling process that has participant, patient.		http://purl.obolibrary.org/obo/BIOBANK_0000019	false
BIOBANK_0000020	patient questionnaire	A questionnaire that comprises a set of questions about patient, such as height, weight, race, biological sex, clinical history, etc., will be filled by the human subject.		http://purl.obolibrary.org/obo/BIOBANK_0000020	false
BIOBANK_0000021	collection packet with specimen and information material	A collection packet which contains container with collected specimen and material carries information about the collected specimen and specimen source.		http://purl.obolibrary.org/obo/BIOBANK_0000021	false
BIOBANK_0000022	blood additive role	A material to be added role is beared by chemical entity that is added into a blood collection containter to optimize specific blood component(s) preservation and/or separation.		http://purl.obolibrary.org/obo/BIOBANK_0000022	false
BIOBANK_0000023	lab technician role	A worker role that performs the practical hands-on work in laboratories and is realized during study design execution.		http://purl.obolibrary.org/obo/BIOBANK_0000023	false
BIOBANK_0000024	collection packet with specimen	A collection packet which contains container with collected specimen.		http://purl.obolibrary.org/obo/BIOBANK_0000024	false
BIOBANK_0000025	empty collection packet	A collection packet which only contains container that will be used for holding specimen		http://purl.obolibrary.org/obo/BIOBANK_0000025	false
BIOBANK_0000026	consent form	A document that describes the study in plain language and is used to obtain patient or his/her parent/guardian permission to use specimen collected from him/her in which studys and share information with which providers. 		http://purl.obolibrary.org/obo/BIOBANK_0000026	false
BIOBANK_0000027	filled data confirm questionnaire	A data confirm questionnaire which is output of a form filling process that has participant, human subject recruiter.		http://purl.obolibrary.org/obo/BIOBANK_0000027	false
BIOBANK_0000028	collection packet	A material entity used for specimen collection. It can contain some container to hold specimen, specimen, and material (e.g. paper) carrying information of specimen and specimen source (e.g. patient).		http://purl.obolibrary.org/obo/BIOBANK_0000028	false
BIOBANK_0000029	filled consent form	An edited document which is output of a form filling process with input document, consent form, and participants, patient and human subject recruiter.		http://purl.obolibrary.org/obo/BIOBANK_0000029	false
BIOBANK_0000030	blood spot card	A device that is made to collect, ship and store blood specimen in an easy and inexpensive way.		http://purl.obolibrary.org/obo/BIOBANK_0000030	false
BIOBANK_0000031	cryovial	A test tube that designed to store materials at very low temperatures.		http://purl.obolibrary.org/obo/BIOBANK_0000031	false
BIOBANK_0000032	vacutainer	A test tube which is either a sterile glass or plastic tube with a closure that is evacuated to create a vacuum inside the tube facilitating the draw of a predetermined volume of liquid. Most commonly used to draw a blood sample directly from the vein, these also are used to collect urine samples. Vacutainer tube may contain additives designed to stabilize and preserve the specimen prior to analytical testing.		http://purl.obolibrary.org/obo/BIOBANK_0000032	false
BIOBANK_0000033	specimen receipt	A planned process that specimens in a packet are received in the lab.		http://purl.obolibrary.org/obo/BIOBANK_0000033	false
BIOBANK_0000034	adding specimen into a container	An adding a material entity into a target where a collected specimen is added to a specimen container. (note, not used for other specimen process that produce new specimens)		http://purl.obolibrary.org/obo/BIOBANK_0000034	false
BIOBANK_0000035	blood spotting	A collecting specimen from organism that collects blood from organism and spot the blood on the blood spot card.		http://purl.obolibrary.org/obo/BIOBANK_0000035	false
BIOBANK_0000036	buffy coat specimen	a processed specimen which is output of density gradient centrifugation of an anticoagulated blood specimen that contains most of the white blood cells and platelets. 		http://purl.obolibrary.org/obo/BIOBANK_0000036	false
BIOBANK_0000037	has maximum capacity			http://purl.obolibrary.org/obo/BIOBANK_0000037	false
BIOBANK_0000038	has actual load			http://purl.obolibrary.org/obo/BIOBANK_0000038	false
BIOBANK_0000039	blood specimen on blood spot card			http://purl.obolibrary.org/obo/BIOBANK_0000039	false
BIOBANK_0000040	empty collection packet with unfilled information material	An empty collection packet which contains container without specimen and material carries unfilled form that will be used to fill information about specimen to be collected.		http://purl.obolibrary.org/obo/BIOBANK_0000040	false
BIOBANK_0000041	duration time of smoking regularly			http://purl.obolibrary.org/obo/BIOBANK_0000041	false
BIOBANK_0000042	average daily use of cigarette datum			http://purl.obolibrary.org/obo/BIOBANK_0000042	false
BIOBANK_0000043	nicotine patch			http://purl.obolibrary.org/obo/BIOBANK_0000043	false
BIOBANK_0000044	cigarette			http://purl.obolibrary.org/obo/BIOBANK_0000044	false
BIOBANK_0000045	nicotine gum or lozenge			http://purl.obolibrary.org/obo/BIOBANK_0000045	false
BIOBANK_0000046	cigar			http://purl.obolibrary.org/obo/BIOBANK_0000046	false
BIOBANK_0000047	chewing tobacco			http://purl.obolibrary.org/obo/BIOBANK_0000047	false
BIOBANK_0000048	nicotine material	A processed materialmaterial entity that contains nicotine.	nicotine product	http://purl.obolibrary.org/obo/BIOBANK_0000048	false
BIOBANK_0000049	pipe			http://purl.obolibrary.org/obo/BIOBANK_0000049	false
BIOBANK_0000050	nicotine e-cigarette			http://purl.obolibrary.org/obo/BIOBANK_0000050	false
BIOBANK_0000051	smoking start date			http://purl.obolibrary.org/obo/BIOBANK_0000051	false
BIOBANK_0000052	pipe smoking behavior			http://purl.obolibrary.org/obo/BIOBANK_0000052	false
BIOBANK_0000053	duration time of smoking			http://purl.obolibrary.org/obo/BIOBANK_0000053	false
BIOBANK_0000054	smoking end date			http://purl.obolibrary.org/obo/BIOBANK_0000054	false
CARO_0000004	portion of organism substance	Material anatomical entity in a gaseous, liquid, semisolid or solid state; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body.		http://purl.obolibrary.org/obo/CARO_0000004	false
CARO_0001008	gross anatomical part	Anatomical structure that is part of a multicellular organism and is at the gross anatomical level, e.g. above the level of a cell.  Included are portions of organism substances such as blood, multi-cell-part structures such as axon tracts, acellular anatomical structures such as hair, and organism subdivisions such as head. Excluded is the whole organism and more granular parts of the organism, such as atoms, molecules, macromolecular complexes and cells.		http://purl.obolibrary.org/obo/CARO_0001008	false
CHEBI_18723	nicotine	An N-alkylpyrrolidine that consists of N-methylpyrrolidine bearing a pyridin-3-yl substituent at position 2.		http://purl.obolibrary.org/obo/CHEBI_18723	false
CHEBI_23367	molecular entity	Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.,Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.		http://purl.obolibrary.org/obo/CHEBI_23367	false
CHEBI_42191	ethylenediaminetetraacetic acid	A polyamino carboxylic acid that has formula C10H16N2O8.		http://purl.obolibrary.org/obo/CHEBI_42191	false
CHEBI_53258	sodium citrate	The trisodium salt of citric acid.		http://purl.obolibrary.org/obo/CHEBI_53258	false
CL_0000000	cell	Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.		http://purl.obolibrary.org/obo/CL_0000000	false
ERO_0000979	freezer	An instrument that consists of a thermally insulated compartment, cabinet, or room in which a subfreezing temperature is maintained for the rapid freezing and storing of perishable items.		http://purl.obolibrary.org/obo/ERO_0000979	false
ERO_0000979	freezer	An instrument that consists of a thermally insulated compartment, cabinet, or room in which a subfreezing temperature is maintained for the rapid freezing and storing of perishable items.		http://purl.obolibrary.org/obo/ERO_0000979	false
GO_0008150	biological_process	Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.		http://purl.obolibrary.org/obo/GO_0008150	false
IAO_0000001	conditional specification	a directive information entity that specifies what should happen if the trigger condition is fulfilled		http://purl.obolibrary.org/obo/IAO_0000001	false
IAO_0000002	example to be eventually removed			http://purl.obolibrary.org/obo/IAO_0000002	false
IAO_0000003	measurement unit label	A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.		http://purl.obolibrary.org/obo/IAO_0000003	false
IAO_0000005	objective specification	a directive information entity that describes an intended process endpoint. When part of a plan specification the concretization is realized in a planned process in which the bearer tries to effect the world so that the process endpoint is achieved.		http://purl.obolibrary.org/obo/IAO_0000005	false
IAO_0000007	action specification	a directive information entity that describes an action the bearer will take		http://purl.obolibrary.org/obo/IAO_0000007	false
IAO_0000009	datum label	A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label		http://purl.obolibrary.org/obo/IAO_0000009	false
IAO_0000027	data item	a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.	data	http://purl.obolibrary.org/obo/IAO_0000027	false
IAO_0000030	information content entity	an information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity		http://purl.obolibrary.org/obo/IAO_0000030	false
IAO_0000032	scalar measurement datum	a scalar measurement datum is a measurement datum that is composed of two parts, numerals and a unit label.		http://purl.obolibrary.org/obo/IAO_0000032	false
IAO_0000033	directive information entity	An information content entity whose concretizations indicate to their bearer how to realize them in a process.		http://purl.obolibrary.org/obo/IAO_0000033	false
IAO_0000039	has measurement unit label			http://purl.obolibrary.org/obo/IAO_0000039	false
IAO_0000078	curation status specification	The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.		http://purl.obolibrary.org/obo/IAO_0000078	false
IAO_0000102	data about an ontology part	data about an ontology part is a data item about a part of an ontology, for example a term		http://purl.obolibrary.org/obo/IAO_0000102	false
IAO_0000104	plan specification	a directive information entity that when concretized it is realized in a process in which the bearer tries to achieve the objectives, in part by taking the actions specified. Plan specifications includes parts such as objective specification, action specifications and conditional specifications.		http://purl.obolibrary.org/obo/IAO_0000104	false
IAO_0000109	measurement datum	A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device.		http://purl.obolibrary.org/obo/IAO_0000109	false
IAO_0000120	metadata complete	Class has all its metadata, but is either not guaranteed to be in its final location in the asserted IS_A hierarchy or refers to another class that is not complete.		http://purl.obolibrary.org/obo/IAO_0000120	false
IAO_0000121	organizational term	term created to ease viewing/sort terms for development purpose, and will not be included in a release		http://purl.obolibrary.org/obo/IAO_0000121	false
IAO_0000122	ready for release	Class has undergone final review, is ready for use, and will be included in the next release. Any class lacking "ready_for_release" should be considered likely to change place in hierarchy, have its definition refined, or be obsoleted in the next release.  Those classes deemed "ready_for_release" will also derived from a chain of ancestor classes that are also "ready_for_release."		http://purl.obolibrary.org/obo/IAO_0000122	false
IAO_0000123	metadata incomplete	Class is being worked on; however, the metadata (including definition) are not complete or sufficiently clear to the branch editors.		http://purl.obolibrary.org/obo/IAO_0000123	false
IAO_0000124	uncurated	Nothing done yet beyond assigning a unique class ID and proposing a preferred term.		http://purl.obolibrary.org/obo/IAO_0000124	false
IAO_0000125	pending final vetting	All definitions, placement in the asserted IS_A hierarchy and required minimal metadata are complete. The class is awaiting a final review by someone other than the term editor.		http://purl.obolibrary.org/obo/IAO_0000125	false
IAO_0000136	is about	is_about is a (currently) primitive relation that relates an information artifact to an entity.		http://purl.obolibrary.org/obo/IAO_0000136	false
IAO_0000144	conclusion textual entity	A textual entity that expresses the results of reasoning about a problem, for instance as typically found towards the end of scientific papers.		http://purl.obolibrary.org/obo/IAO_0000144	false
IAO_0000178	material information bearer	An information bearer is a material_entity in which a concretization of an information content entity inheres.		http://purl.obolibrary.org/obo/IAO_0000178	false
IAO_0000300	textual entity	A textual entity is a part of a manifestation (FRBR sense), a generically dependent continuant whose concretizations are patterns of glyphs intended to be interpreted as words, formulas, etc.	text	http://purl.obolibrary.org/obo/IAO_0000300	false
IAO_0000310	document	A collection of information content entities intended to be understood together as a whole		http://purl.obolibrary.org/obo/IAO_0000310	false
IAO_0000413	is duration of	relates a process to a time-measurement-datum that represents the duration of the process		http://purl.obolibrary.org/obo/IAO_0000413	false
IAO_0000416	time measurement datum	A scalar measurement datum that is the result of measuring a temporal interval		http://purl.obolibrary.org/obo/IAO_0000416	false
IAO_0000423	to be replaced with external ontology term	Terms with this status should eventually replaced with a term from another ontology.		http://purl.obolibrary.org/obo/IAO_0000423	false
IAO_0000428	requires discussion	A term that is metadata complete, has been reviewed, and problems have been identified that require discussion before release. Such a term requires editor note(s) to identify the outstanding issues.		http://purl.obolibrary.org/obo/IAO_0000428	false
IAO_0000572	documenting	a planned process in which a document is created or added to by including the specified input in it.		http://purl.obolibrary.org/obo/IAO_0000572	false
NCBITaxon_10239	Viruses			http://purl.obolibrary.org/obo/NCBITaxon_10239	false
NCBITaxon_2	Bacteria			http://purl.obolibrary.org/obo/NCBITaxon_2	false
NCBITaxon_2157	Archaea			http://purl.obolibrary.org/obo/NCBITaxon_2157	false
NCBITaxon_2759	Eukaryota			http://purl.obolibrary.org/obo/NCBITaxon_2759	false
NCBITaxon_9606	Homo sapiens		human being	http://purl.obolibrary.org/obo/NCBITaxon_9606	false
OBI_0000011	planned process	A processual entity that realizes a plan which is the concretization of a plan specification.		http://purl.obolibrary.org/obo/OBI_0000011	false
OBI_0000047	processed material	Is a material entity that is created or changed during material processing.		http://purl.obolibrary.org/obo/OBI_0000047	false
OBI_0000066	investigation	a planned process that consists of parts: planning, study design execution, documentation and which produce conclusion(s).		http://purl.obolibrary.org/obo/OBI_0000066	false
OBI_0000079	culture medium	a processed material that provides the needed nourishment for microorganisms or cells grown in vitro.		http://purl.obolibrary.org/obo/OBI_0000079	false
OBI_0000093	patient role	a role which inheres in a person and is realized by the process of being under the care of a physician or health care provider	patient	http://purl.obolibrary.org/obo/OBI_0000093	false
OBI_0000094	material processing	A planned process which results in physical changes in a specified input material	material transformation	http://purl.obolibrary.org/obo/OBI_0000094	false
OBI_0000097	participant under investigation role	A role that is realized through the execution of a study design in which the bearer of the role participates and in which data about that bearer is collected.		http://purl.obolibrary.org/obo/OBI_0000097	false
OBI_0000112	specimen role	a role borne by a material entity that is gained during a specimen creation process and that can be realized by use of the specimen in an investigation		http://purl.obolibrary.org/obo/OBI_0000112	false
OBI_0000115	intervention design	An intervention design is a study design in which a controlled process applied to the subjects (the intervention) serves as the independent variable manipulated by the experimentalist. The treatment (perturbation or intervention) defined can be defined as a combination of values taken by independent variable manipulated by the experimentalists are applied to the recruited subjects assigned (possibly by applying specific methods) to treatment groups. The specificity of intervention design is the fact that independent variables are being manipulated and a response of the biological system is evaluated via response variables as monitored by possibly a series of assays.		http://purl.obolibrary.org/obo/OBI_0000115	false
OBI_0000116	worker role	a personnel role played by a party who executes a component of the study plan; this can occur before, during, after or outside the study timeline	worker	http://purl.obolibrary.org/obo/OBI_0000116	false
OBI_0000124	is_supported_by_data	The relation between a data item and a conclusion where the conclusion is the output of a data interpreting process and the data item is used as an input to that process		http://purl.obolibrary.org/obo/OBI_0000124	false
OBI_0000151	filter paper	a device manufacture with the intent to provide a porous unsized paper used for filtering.		http://purl.obolibrary.org/obo/OBI_0000151	false
OBI_0000181	population	a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area		http://purl.obolibrary.org/obo/OBI_0000181	false
OBI_0000202	investigation agent role	Investigation agent role is a role borne by a person or organization which is realized in a process that is part of an investigation in which an objective is achieved. These processes include: planning, overseeing, funding, reviewing.	investigator	http://purl.obolibrary.org/obo/OBI_0000202	false
OBI_0000245	organization	An organization is a continuant entity which can play roles,  has members, and has a set of organization rules.  Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members.		http://purl.obolibrary.org/obo/OBI_0000245	false
OBI_0000272	protocol	a protocol is a plan specification which has sufficient level of detail and quantitative information to communicate it between domain experts, so that different domain experts will reliably be able to independently reproduce the process.		http://purl.obolibrary.org/obo/OBI_0000272	false
OBI_0000274	adding a material entity into a target	is a process with the objective to place a material entity bearing the 'material to be added role' into a material bearing the 'target of material addition role'.		http://purl.obolibrary.org/obo/OBI_0000274	false
OBI_0000293	has_specified_input	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.		http://purl.obolibrary.org/obo/OBI_0000293	false
OBI_0000299	has_specified_output	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.		http://purl.obolibrary.org/obo/OBI_0000299	false
OBI_0000312	is_specified_output_of	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.		http://purl.obolibrary.org/obo/OBI_0000312	false
OBI_0000319	material to be added role	material to be added role is a protocol participant role realized by a material which is added into a material bearing the target of material addition role in a material addition process		http://purl.obolibrary.org/obo/OBI_0000319	false
OBI_0000338	interpreting data	the process of evaluating the data gathered in an investigation in the context of literature knowledge with the objective to generate more general conclusions or to identify what additional data is necessary to draw conclusions		http://purl.obolibrary.org/obo/OBI_0000338	false
OBI_0000339	planning	a process of creating or modifying a plan.		http://purl.obolibrary.org/obo/OBI_0000339	false
OBI_0000370	contain function	A contain function is a function to constrain a material entities location in space		http://purl.obolibrary.org/obo/OBI_0000370	false
OBI_0000372	material separation function	A material separation function is a function that increases the resolution between two or more material entities. The  to distinction between the entities is usually based on some associated physical quality.		http://purl.obolibrary.org/obo/OBI_0000372	false
OBI_0000378	filter function	A filter function is a function to prevent the flow of certain entities based on a quality or qualities of the entity while allowing entities which have different qualities to pass through		http://purl.obolibrary.org/obo/OBI_0000378	false
OBI_0000399	solid support function	A solid support function is a function of a device on which an entity is kept in a defined position and prevented in its movement		http://purl.obolibrary.org/obo/OBI_0000399	false
OBI_0000417	achieves_planned_objective	This relation obtains between a planned process and a objective specification when the criteria specified in the objective specification are met at the end of the planned process.		http://purl.obolibrary.org/obo/OBI_0000417	false
OBI_0000434	adding material objective	is the specification of an objective to add a material into a target material. The adding is asymmetric in the sense that the target material largely retains its identity		http://purl.obolibrary.org/obo/OBI_0000434	false
OBI_0000444	target of material addition role	target of material addition role is a role realized by an entity into which a material is added in a material addition process		http://purl.obolibrary.org/obo/OBI_0000444	false
OBI_0000453	measure function	Measure function is a function that is borne by a processed material  and realized in a process in which information about some entity is expressed relative to some reference.		http://purl.obolibrary.org/obo/OBI_0000453	false
OBI_0000456	material transformation objective	an objective specifiction that creates an specific output object from input materials.	artifact  creation objective	http://purl.obolibrary.org/obo/OBI_0000456	false
OBI_0000471	study design execution	a planned process that realizes the concretization of a study design		http://purl.obolibrary.org/obo/OBI_0000471	false
OBI_0000639	material separation objective	is an objective to transform a material entity into spatially separated components.		http://purl.obolibrary.org/obo/OBI_0000639	false
OBI_0000643	has grain	the relation of the cells in the finger of the skin to the finger, in which an indeterminate number of grains are parts of the whole by virtue of being grains in a collective that is part of the whole, and in which removing one granular part does not nec- essarily damage or diminish the whole. Ontological Whether there is a fixed, or nearly fixed number of parts - e.g. fingers of the hand, chambers of the heart, or wheels of a car - such that there can be a notion of a single one being missing, or whether, by contrast, the number of parts is indeterminate - e.g., cells in the skin of the hand, red cells in blood, or rubber molecules in the tread of the tire of the wheel of the car.		http://purl.obolibrary.org/obo/OBI_0000643	false
OBI_0000652	material combination	is a material processing with the objective to combine two or more material entities as input into a single material entity as output.		http://purl.obolibrary.org/obo/OBI_0000652	false
