type	ID	Name	Definition	Synonyms	URI	is obsolete
object property	BFO_0000060	is immediately preceded by		immediately_preceded_by,immediately preceded by	http://purl.obolibrary.org/obo/BFO_0000060	false
object property	BFO_0000061	immediately precedes		immediately_precedes	http://purl.obolibrary.org/obo/BFO_0000061	false
object property	BFO_0000062	is preceded by		preceded_by,preceded by	http://purl.obolibrary.org/obo/BFO_0000062	false
object property	BFO_0000063	precedes			http://purl.obolibrary.org/obo/BFO_0000063	false
object property	BFO_0000064	is course of		course of,course_of	http://purl.obolibrary.org/obo/BFO_0000064	false
object property	BFO_0000065	has course		has_course	http://purl.obolibrary.org/obo/BFO_0000065	false
object property	BFO_0000066	occurs in		occurs_in	http://purl.obolibrary.org/obo/BFO_0000066	false
object property	BFO_0000067	has site of		has_site_of	http://purl.obolibrary.org/obo/BFO_0000067	false
object property	BFO_0000068	begins to exist during		begins_to_exist_during	http://purl.obolibrary.org/obo/BFO_0000068	false
object property	BFO_0000069	ceases to exist during		ceases_to_exist_during	http://purl.obolibrary.org/obo/BFO_0000069	false
object property	BFO_0000070	s depends on		s_depends_on	http://purl.obolibrary.org/obo/BFO_0000070	false
object property	BFO_0000071	has granular part		has_granular_part	http://purl.obolibrary.org/obo/BFO_0000071	false
object property	BFO_0000072	has granular process part		has_granular_process_part	http://purl.obolibrary.org/obo/BFO_0000072	false
object property	BFO_0000073	is granular part of		granular part of,granular_part_of	http://purl.obolibrary.org/obo/BFO_0000073	false
object property	BFO_0000074	is granular part of process		granular_part_of_process,granular part of process	http://purl.obolibrary.org/obo/BFO_0000074	false
object property	BFO_0000075	is aggregate of		aggregate of,aggregate_of	http://purl.obolibrary.org/obo/BFO_0000075	false
object property	BFO_0000076	is fiat part of		fiat part of,fiat_part_of	http://purl.obolibrary.org/obo/BFO_0000076	false
object property	BFO_0000077	has participant beginning to exist		has_participant_beginning_to_exist	http://purl.obolibrary.org/obo/BFO_0000077	false
object property	BFO_0000078	has participant ceasing to exist		has_participant_ceasing_to_exist	http://purl.obolibrary.org/obo/BFO_0000078	false
object property	BFO_0000079	is function of		function of,function_of	http://purl.obolibrary.org/obo/BFO_0000079	false
object property	BFO_0000080	is quality of		quality of,quality_of	http://purl.obolibrary.org/obo/BFO_0000080	false
object property	BFO_0000081	is role of		role_of,role of	http://purl.obolibrary.org/obo/BFO_0000081	false
object property	BFO_0000082	is located in		located_in,located in	http://purl.obolibrary.org/obo/BFO_0000082	false
object property	BFO_0000083	is located at		located at,located_at	http://purl.obolibrary.org/obo/BFO_0000083	false
object property	BFO_0000084	g depends on		g_depends_on	http://purl.obolibrary.org/obo/BFO_0000084	false
object property	BFO_0000085	has function		has_function	http://purl.obolibrary.org/obo/BFO_0000085	false
object property	BFO_0000086	has quality		has_quality	http://purl.obolibrary.org/obo/BFO_0000086	false
object property	BFO_0000087	has role		has_role	http://purl.obolibrary.org/obo/BFO_0000087	false
class	BIOBANK_0000010	freezer shelf	A device that is part of a freezer and consists of a solid horizontal surface to keep material in the freezer on a flat surface.		http://purl.obolibrary.org/obo/BIOBANK_0000010	false
class	BIOBANK_0000011	discarding	A planned process that gets rid of a material that is no longer useful or desirable.		http://purl.obolibrary.org/obo/BIOBANK_0000011	false
class	BIOBANK_0000012	human subject recuiter role	A worker role of recruiting human subjects to partcipate in a clinical investigation in which data about human subject is collected.		http://purl.obolibrary.org/obo/BIOBANK_0000012	false
class	BIOBANK_0000013	cryovial box	A device that is intended to hold cryovials.		http://purl.obolibrary.org/obo/BIOBANK_0000013	false
class	BIOBANK_0000014	trash container	A container that is used for discarded material.		http://purl.obolibrary.org/obo/BIOBANK_0000014	false
class	BIOBANK_0000015	freezer rack	A device that is part of a freezer for keeping material in the freezer in a defined position and prevents movement.		http://purl.obolibrary.org/obo/BIOBANK_0000015	false
class	BIOBANK_0000016	blood spot card box	A device that is designed to contain blood spot cards.		http://purl.obolibrary.org/obo/BIOBANK_0000016	false
class	BIOBANK_0000017	data confirm questionnaire	A questionnaire that comprises a set of questions about patient, such as height, weight, race, biological sex, clinical history, etc., which will be filled by a recruiter based on an Electronic Medical Record (EMR).		http://purl.obolibrary.org/obo/BIOBANK_0000017	false
class	BIOBANK_0000018	form filling	A document editing process in which one or more fields in a form are filled with related information, such as when answering a questionnare.		http://purl.obolibrary.org/obo/BIOBANK_0000018	false
class	BIOBANK_0000019	filled patient questionnaire	A patient questionnaire which has been filled out by a patient.		http://purl.obolibrary.org/obo/BIOBANK_0000019	false
class	BIOBANK_0000020	patient questionnaire	A questionnaire that comprises a set of questions about a patient, such as height, weight, race, biological sex, clinical history, etc., which will be filled by the human subject.		http://purl.obolibrary.org/obo/BIOBANK_0000020	false
class	BIOBANK_0000021	collection packet with specimen and information material	A collection packet which contains a container with a specimen and a form filled with information about the collected specimen and specimen source.		http://purl.obolibrary.org/obo/BIOBANK_0000021	false
class	BIOBANK_0000022	blood additive role	A material to be added role that is born by a chemical entity which is added into a blood collection containter to optimize specific blood component(s) preservation and/or separation.		http://purl.obolibrary.org/obo/BIOBANK_0000022	false
class	BIOBANK_0000023	lab technician role	A worker role that performs the practical hands-on work in laboratories and is realized during study design execution.		http://purl.obolibrary.org/obo/BIOBANK_0000023	false
class	BIOBANK_0000024	collection packet with specimen	A collection packet which contains a container with a specimen.		http://purl.obolibrary.org/obo/BIOBANK_0000024	false
class	BIOBANK_0000025	collection packet with empty container	A collection packet which contains an empty container that will be used for holding a specimen.		http://purl.obolibrary.org/obo/BIOBANK_0000025	false
class	BIOBANK_0000027	filled data confirm questionnaire	A data confirm questionnaire which has been filled out by a human subject recruiter.		http://purl.obolibrary.org/obo/BIOBANK_0000027	false
class	BIOBANK_0000028	collection packet	A material entity used for specimen collection. It can contain a container to hold a specimen and material (e.g. paper) carrying information about the specimen and the specimen source (e.g. patient).		http://purl.obolibrary.org/obo/BIOBANK_0000028	false
class	BIOBANK_0000030	blood spot card	A device that  is designed to collect, ship and store blood specimens in an easy and inexpensive way.		http://purl.obolibrary.org/obo/BIOBANK_0000030	false
class	BIOBANK_0000031	cryovial	A test tube that designed to store materials at very low temperatures.		http://purl.obolibrary.org/obo/BIOBANK_0000031	false
class	BIOBANK_0000032	vacutainer	A test tube  which is either a sterile glass or plastic tube with a closure that is evacuated to create a vacuum inside the tube facilitating the draw of a predetermined volume of liquid. Most commonly used to draw a blood sample directly from the vein, these also are used to collect urine samples. Vacutainer tube may contain additives designed to stabilize and preserve the specimen prior to analytical testing.		http://purl.obolibrary.org/obo/BIOBANK_0000032	false
class	BIOBANK_0000033	specimen receiving	A planned process for receiving specimens such as into a laboratory.		http://purl.obolibrary.org/obo/BIOBANK_0000033	false
class	BIOBANK_0000034	adding specimen into a container	An adding a material entity into a target process where a collected specimen is added to a specimen container. (note, not used for other specimen process that produce new specimens)		http://purl.obolibrary.org/obo/BIOBANK_0000034	false
class	BIOBANK_0000035	blood spotting	An adding specimen into a container process that spots the blood from an organism on the blood spot card.		http://purl.obolibrary.org/obo/BIOBANK_0000035	false
class	BIOBANK_0000036	buffy coat specimen	A processed specimen which is the output of a density gradient centrifugation of an anticoagulated blood specimen that contains most of the white blood cells and platelets.		http://purl.obolibrary.org/obo/BIOBANK_0000036	false
object property	BIOBANK_0000037	has maximum capacity	A relation that relates a container to a measurement datum that specifies the maximum capacity of the container.		http://purl.obolibrary.org/obo/BIOBANK_0000037	false
object property	BIOBANK_0000038	has actual load	A relation that relates a container to a measurement datum that specifies the actual amount of material in the container.		http://purl.obolibrary.org/obo/BIOBANK_0000038	false
class	BIOBANK_0000039	blood specimen on blood spot card	A blood specimen that is located on a blood spot card.		http://purl.obolibrary.org/obo/BIOBANK_0000039	false
class	BIOBANK_0000040	collection packet with empty container and unfilled information material	A collection packet which contains a container without a specimen and an unfilled form that will be used to fill in information about specimen to be collected.		http://purl.obolibrary.org/obo/BIOBANK_0000040	false
class	BIOBANK_0000041	duration time of smoking regularly	A duration time of smoking about how long a person has been smoking regularly. (better to have criteria of regularly mean, such as smoke everyday)		http://purl.obolibrary.org/obo/BIOBANK_0000041	false
class	BIOBANK_0000042	average daily use of cigarette datum	An average value of use of cigarettes per day.		http://purl.obolibrary.org/obo/BIOBANK_0000042	false
class	BIOBANK_0000043	nicotine patch	A processed material that contains nicotine in the form of a transdermal patch which releases nicotine into the body through the skin. It is commonly used as an aid in nicotine replacement therapy (NRT), a process for smoking cessation.		http://purl.obolibrary.org/obo/BIOBANK_0000043	false
class	BIOBANK_0000044	cigarette	A processed material which is a small cylinder of finely cut tobacco leaves rolled in thin paper for smoking.		http://purl.obolibrary.org/obo/BIOBANK_0000044	false
class	BIOBANK_0000045	nicotine gum or lozenge	A processed material contains nicotine in a form of a chewing gum or a candy-like tablet. It delivers nicotine to the body via absorption by the tissues of the mouth.  It is commonly used as an aid in nicotine replacement therapy (NRT), a process for smoking cessation.		http://purl.obolibrary.org/obo/BIOBANK_0000045	false
class	BIOBANK_0000046	cigar	A processed material which is a tightly-rolled bundle of dried and fermented tobacco that is ignited so that its smoke may be drawn into the mouth.		http://purl.obolibrary.org/obo/BIOBANK_0000046	false
class	BIOBANK_0000047	chewing tobacco	A processed material which is a kind of smokeless tobacco product consumed by placing a portion of the tobacco between the cheek and gum or upper lip teeth and chewing.		http://purl.obolibrary.org/obo/BIOBANK_0000047	false
class	BIOBANK_0000048	nicotine material	A processed material that contains nicotine.	nicotine product	http://purl.obolibrary.org/obo/BIOBANK_0000048	false
class	BIOBANK_0000049	smoking pipe	A device made to allow the user to inhale or taste smoke or vapor derived from the burning or vaporization of some substance.		http://purl.obolibrary.org/obo/BIOBANK_0000049	false
class	BIOBANK_0000050	nicotine e-cigarette	A processed material that vaporizes a liquid solution containing nicotine and simulates tobacco smoking by producing an aerosol that resembles smoke.		http://purl.obolibrary.org/obo/BIOBANK_0000050	false
class	BIOBANK_0000051	smoking start date	A time measurement datum which is the start date of a smoking behavior.		http://purl.obolibrary.org/obo/BIOBANK_0000051	false
class	BIOBANK_0000052	pipe smoking behavior	A smoking behavior that uses a smoking pipe to inhale or taste tobacco material.		http://purl.obolibrary.org/obo/BIOBANK_0000052	false
class	BIOBANK_0000053	duration time of smoking	A time measurement datum about how long a person has been smoking.		http://purl.obolibrary.org/obo/BIOBANK_0000053	false
class	BIOBANK_0000054	smoking end date	A time measurement datum which is the end date of a smoking behavior.		http://purl.obolibrary.org/obo/BIOBANK_0000054	false
class	BIOBANK_0000055	pipe tobacco	A processed material which is made from tobacco for smoking tobacco using a pipe.		http://purl.obolibrary.org/obo/BIOBANK_0000055	false
class	BIOBANK_0000056	tobacco	A Eukaryota that is within the genus Nicotiana of the Solanaceae (nightshade) family.		http://purl.obolibrary.org/obo/BIOBANK_0000056	false
class	BIOBANK_0000057	tobacco material	A processed material that is made from tobacco. Typically, tobacco material is meant to be used as a source of nicotine as tobacco contains a higher concentration of nicotine than most other plants.	tobacco product	http://purl.obolibrary.org/obo/BIOBANK_0000057	false
class	CARO_0000004	portion of organism substance	Material anatomical entity in a gaseous, liquid, semisolid or solid state; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body.		http://purl.obolibrary.org/obo/CARO_0000004	false
class	CARO_0001008	gross anatomical part	Anatomical structure that is part of a multicellular organism and is at the gross anatomical level, e.g. above the level of a cell.  Included are portions of organism substances such as blood, multi-cell-part structures such as axon tracts, acellular anatomical structures such as hair, and organism subdivisions such as head. Excluded is the whole organism and more granular parts of the organism, such as atoms, molecules, macromolecular complexes and cells.		http://purl.obolibrary.org/obo/CARO_0001008	false
class	CHEBI_18723	nicotine	An N-alkylpyrrolidine that consists of N-methylpyrrolidine bearing a pyridin-3-yl substituent at position 2.		http://purl.obolibrary.org/obo/CHEBI_18723	false
class	CHEBI_23367	molecular entity	Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.		http://purl.obolibrary.org/obo/CHEBI_23367	false
class	CHEBI_42191	ethylenediaminetetraacetic acid	A polyamino carboxylic acid that has formula C10H16N2O8.		http://purl.obolibrary.org/obo/CHEBI_42191	false
class	CHEBI_53258	sodium citrate	The trisodium salt of citric acid.		http://purl.obolibrary.org/obo/CHEBI_53258	false
class	CL_0000000	cell	A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.		http://purl.obolibrary.org/obo/CL_0000000	false
class	CL_0000010	cultured cell	A cell in vitro that is or has been maintained or propagated as part of a cell culture.		http://purl.obolibrary.org/obo/CL_0000010	false
class	CL_0000578	experimentally modified cell in vitro	A cell in vitro that has undergone physical changes as a consequence of a deliberate and specific experimental procedure.		http://purl.obolibrary.org/obo/CL_0000578	false
class	ERO_0000979	freezer	An instrument that consists of a thermally insulated compartment, cabinet, or room in which a subfreezing temperature is maintained for the rapid freezing and storing of perishable items.		http://purl.obolibrary.org/obo/ERO_0000979	false
class	GO_0008150	biological_process	Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.		http://purl.obolibrary.org/obo/GO_0008150	false
class	IAO_0000001	conditional specification	a directive information entity that specifies what should happen if the trigger condition is fulfilled		http://purl.obolibrary.org/obo/IAO_0000001	false
individual	IAO_0000002	example to be eventually removed			http://purl.obolibrary.org/obo/IAO_0000002	false
class	IAO_0000003	measurement unit label	A data item label that denotes a unit of measure.		http://purl.obolibrary.org/obo/IAO_0000003	false
class	IAO_0000005	objective specification	a directive information entity that describes an intended process endpoint. 		http://purl.obolibrary.org/obo/IAO_0000005	false
class	IAO_0000007	action specification	a directive information entity that describes an action the bearer will take		http://purl.obolibrary.org/obo/IAO_0000007	false
class	IAO_0000009	data item label	An information content entity that is part of some data item and is used to partially define the denotation of that data item.	datum label	http://purl.obolibrary.org/obo/IAO_0000009	false
class	IAO_0000015	information carrier	A quality of an information bearer that imparts the information content		http://purl.obolibrary.org/obo/IAO_0000015	false
class	IAO_0000027	data item	An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method that reliably tends to produce (approximately) truthful statements.	data	http://purl.obolibrary.org/obo/IAO_0000027	false
class	IAO_0000030	information content entity	an information content entity is an entity that is generically dependent on some material entity and stands in relation of aboutness to some entity		http://purl.obolibrary.org/obo/IAO_0000030	false
class	IAO_0000032	scalar measurement datum	a scalar measurement datum is a measurement datum that is composed of two parts, numerals and a unit label.		http://purl.obolibrary.org/obo/IAO_0000032	false
class	IAO_0000033	directive information entity	An information content entity whose concretizations indicate to their bearer how to realize them in a process.		http://purl.obolibrary.org/obo/IAO_0000033	false
object property	IAO_0000039	has measurement unit label	A relation between a value specification and its unit of measurement.		http://purl.obolibrary.org/obo/IAO_0000039	false
class	IAO_0000064	algorithm	A plan specification which describes inputs, output of mathematical functions as well as workflow of execution for achieving an predefined objective. Algorithms are realized usually by means of implementation as computer programs for execution by automata.		http://purl.obolibrary.org/obo/IAO_0000064	false
class	IAO_0000078	curation status specification	The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.		http://purl.obolibrary.org/obo/IAO_0000078	false
class	IAO_0000088	report	An information content entity assembled by an author for the purpose of providing information for an audience, and that is meant to provide an accurate account of something that happened.		http://purl.obolibrary.org/obo/IAO_0000088	false
class	IAO_0000102	data about an ontology part	data about an ontology part is a data item about a part of an ontology, for example a term		http://purl.obolibrary.org/obo/IAO_0000102	false
individual	IAO_0000103	failed exploratory term	The term was used used in an attempt to structure part of the ontology but in retrospect failed to do a good job		http://purl.obolibrary.org/obo/IAO_0000103	false
class	IAO_0000104	plan specification	a directive information entity that, when concretized, is realized in a process in which the bearer tries to achieve the objectives, in part by taking the actions specified.		http://purl.obolibrary.org/obo/IAO_0000104	false
class	IAO_0000109	measurement data item	A data item that is a recording of the output of an assay.	measurement datum	http://purl.obolibrary.org/obo/IAO_0000109	false
individual	IAO_0000120	metadata complete	Class has all its metadata, but is either not guaranteed to be in its final location in the asserted IS_A hierarchy or refers to another class that is not complete.		http://purl.obolibrary.org/obo/IAO_0000120	false
individual	IAO_0000121	organizational term	term created to ease viewing/sort terms for development purpose, and will not be included in a release		http://purl.obolibrary.org/obo/IAO_0000121	false
individual	IAO_0000122	ready for release	Class has undergone final review, is ready for use, and will be included in the next release. Any class lacking "ready_for_release" should be considered likely to change place in hierarchy, have its definition refined, or be obsoleted in the next release.  Those classes deemed "ready_for_release" will also derived from a chain of ancestor classes that are also "ready_for_release."		http://purl.obolibrary.org/obo/IAO_0000122	false
individual	IAO_0000123	metadata incomplete	Class is being worked on; however, the metadata (including definition) are not complete or sufficiently clear to the branch editors.		http://purl.obolibrary.org/obo/IAO_0000123	false
individual	IAO_0000124	uncurated	Nothing done yet beyond assigning a unique class ID and proposing a preferred term.		http://purl.obolibrary.org/obo/IAO_0000124	false
individual	IAO_0000125	pending final vetting	All definitions, placement in the asserted IS_A hierarchy and required minimal metadata are complete. The class is awaiting a final review by someone other than the term editor.		http://purl.obolibrary.org/obo/IAO_0000125	false
object property	IAO_0000136	is about	is_about is a (currently) primitive relation that relates an information artifact to an entity.		http://purl.obolibrary.org/obo/IAO_0000136	false
class	IAO_0000178	material information bearer	A material entity in which a concretization of an information content entity inheres.		http://purl.obolibrary.org/obo/IAO_0000178	false
individual	IAO_0000224	core	Core is an instance of a grouping of terms from an ontology or ontologies. It is used by the ontology to identify main classes.		http://purl.obolibrary.org/obo/IAO_0000224	false
class	IAO_0000225	obsolescence reason specification	The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.		http://purl.obolibrary.org/obo/IAO_0000225	false
individual	IAO_0000226	placeholder removed			http://purl.obolibrary.org/obo/IAO_0000226	false
individual	IAO_0000227	terms merged			http://purl.obolibrary.org/obo/IAO_0000227	false
individual	IAO_0000228	term imported			http://purl.obolibrary.org/obo/IAO_0000228	false
individual	IAO_0000229	term split			http://purl.obolibrary.org/obo/IAO_0000229	false
class	IAO_0000310	document	A collection of information content entities intended to be understood together as a whole		http://purl.obolibrary.org/obo/IAO_0000310	false
class	IAO_0000409	denotator type	A denotator type indicates how a term should be interpreted from an ontological perspective.		http://purl.obolibrary.org/obo/IAO_0000409	false
individual	IAO_0000410	universal			http://purl.obolibrary.org/obo/IAO_0000410	false
object property	IAO_0000413	is duration of	relates a process to a time-measurement-datum that represents the duration of the process		http://purl.obolibrary.org/obo/IAO_0000413	false
class	IAO_0000416	time measurement datum	A scalar measurement datum that is the result of measuring a temporal interval		http://purl.obolibrary.org/obo/IAO_0000416	false
individual	IAO_0000420	defined class			http://purl.obolibrary.org/obo/IAO_0000420	false
individual	IAO_0000421	named class expression	A named class expression is a logical expression that is given a name. The name can be used in place of the expression.		http://purl.obolibrary.org/obo/IAO_0000421	false
individual	IAO_0000423	to be replaced with external ontology term	Terms with this status should eventually replaced with a term from another ontology.		http://purl.obolibrary.org/obo/IAO_0000423	false
individual	IAO_0000428	requires discussion	A term that is metadata complete, has been reviewed, and problems have been identified that require discussion before release. Such a term requires editor note(s) to identify the outstanding issues.		http://purl.obolibrary.org/obo/IAO_0000428	false
class	IAO_0000572	documenting	a planned process in which input information is used to create or add to a report		http://purl.obolibrary.org/obo/IAO_0000572	false
class	ICO_0000001	informed consent form	A document that explains all relevant study information to assist a human subject in understanding the expectations and requirements of participation in a research study. This form document is presented to and signed by the study subject. 		http://purl.obolibrary.org/obo/ICO_0000001	false
class	ICO_0000023	completely filled informed consent form	an informed consent form that has been filled with all required contents.		http://purl.obolibrary.org/obo/ICO_0000023	false
class	ICO_0000024	partially filled informed consent form	an informed consent form that has been partically filled with required contents.		http://purl.obolibrary.org/obo/ICO_0000024	false
class	NCBITaxon_10239	Viruses			http://purl.obolibrary.org/obo/NCBITaxon_10239	false
class	NCBITaxon_117571	Euteleostomi		bony vertebrates	http://purl.obolibrary.org/obo/NCBITaxon_117571	false
class	NCBITaxon_2	Bacteria		eubacteria	http://purl.obolibrary.org/obo/NCBITaxon_2	false
class	NCBITaxon_2157	Archaea			http://purl.obolibrary.org/obo/NCBITaxon_2157	false
class	NCBITaxon_2759	Eukaryota		eucaryotes,eukaryotes	http://purl.obolibrary.org/obo/NCBITaxon_2759	false
class	NCBITaxon_314146	Euarchontoglires			http://purl.obolibrary.org/obo/NCBITaxon_314146	false
class	NCBITaxon_32523	Tetrapoda		tetrapods	http://purl.obolibrary.org/obo/NCBITaxon_32523	false
class	NCBITaxon_32524	Amniota		amniotes	http://purl.obolibrary.org/obo/NCBITaxon_32524	false
class	NCBITaxon_33154	Opisthokonta			http://purl.obolibrary.org/obo/NCBITaxon_33154	false
class	NCBITaxon_33213	Bilateria			http://purl.obolibrary.org/obo/NCBITaxon_33213	false
class	NCBITaxon_40674	Mammalia		mammals	http://purl.obolibrary.org/obo/NCBITaxon_40674	false
class	NCBITaxon_7742	Vertebrata <Metazoa>		vertebrates,Vertebrata	http://purl.obolibrary.org/obo/NCBITaxon_7742	false
class	NCBITaxon_9606	Homo sapiens		human being,human,man	http://purl.obolibrary.org/obo/NCBITaxon_9606	false
class	OBI_0000011	planned process	A processual entity that realizes a plan which is the concretization of a plan specification.		http://purl.obolibrary.org/obo/OBI_0000011	false
class	OBI_0000047	processed material	Is a material entity that is created or changed during material processing.		http://purl.obolibrary.org/obo/OBI_0000047	false
class	OBI_0000066	investigation	a planned process that consists of parts: planning, study design execution, documentation and which produce conclusion(s).		http://purl.obolibrary.org/obo/OBI_0000066	false
class	OBI_0000067	evaluant role	a role that inheres in a material entity that is realized in an assay in which data is generated about the bearer of the evaluant role		http://purl.obolibrary.org/obo/OBI_0000067	false
class	OBI_0000070	assay	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.	scientific observation,measuring	http://purl.obolibrary.org/obo/OBI_0000070	false
class	OBI_0000079	culture medium	a processed material that provides the needed nourishment for microorganisms or cells grown in vitro.		http://purl.obolibrary.org/obo/OBI_0000079	false
class	OBI_0000086	reagent role	A role inhering in a biological or chemical entity that is intended to be applied in a scientific technique to participate (or have molecular components that participate) in a chemical reaction that facilitates the generation of data about some entity distinct from the bearer, or the generation of some specified material output distinct from the bearer.	reagent	http://purl.obolibrary.org/obo/OBI_0000086	false
class	OBI_0000093	patient role	a role which inheres in a person and is realized by the process of being under the care of a physician or health care provider	patient	http://purl.obolibrary.org/obo/OBI_0000093	false
class	OBI_0000094	material processing	A planned process which results in physical changes in a specified input material	material transformation	http://purl.obolibrary.org/obo/OBI_0000094	false
class	OBI_0000097	participant under investigation role	A role that is realized through the execution of a study design in which the bearer of the role participates and in which data about that bearer is collected.		http://purl.obolibrary.org/obo/OBI_0000097	false
